Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,Protein Accession,ARO_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,CVTERM ID,Model Sequence ID,Model ID,ARO_Name,DNA Accession,AMR Gene Family,Drug/Antibiotics_Class,Resistance Mechanism,,,,
SRR5240606,Ambulances,SRR5240606_bin.5,xx36,Leclercia sp. 119287 (taxid 2681308),emrB,1,AAC75733.1,ARO:3000074,93,515,33,1,8662,7118,1,512,1.42e-312,944,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240615,Ambulances,SRR5240615_bin.5,xx55,Cronobacter sakazakii (taxid 28141),msbA,7,AAC74000.1,ARO:3003950,93,582,41,0,4218,5963,1,582,0,1018,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240625,Ambulances,SRR5240625_bin.5,xx74,Pseudescherichia vulneris (taxid 566),Ecol_cyaA_FOF,3,CDJ73082.1,ARO:3003900,93,848,59,0,42811,45354,1,848,0,1613,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240631,Ambulances,SRR5240631_bin.4,xx84,Pseudescherichia vulneris (taxid 566),Ecol_cyaA_FOF,2,CDJ73082.1,ARO:3003900,93,848,59,0,5278,7821,1,848,0,1612,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240637,Ambulances,SRR5240637_bin.2,xx17,Leclercia adecarboxylata (taxid 83655),acrD,1,BAA16344.1,ARO:3000491,93,1035,72,0,164051,160947,1,1035,0,1842,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240639,Ambulances,SRR5240639_bin.11,xx166,Pseudescherichia vulneris (taxid 566),Ecol_cyaA_FOF,3,CDJ73082.1,ARO:3003900,93,848,59,0,5281,7824,1,848,0,1612,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240662,Ambulances,SRR5240662_bin.4,xx1,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),acrB,2,AAC73564.1,ARO:3000216,93,1049,72,1,484899,488042,1,1049,0,1859,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240667,Ambulances,SRR5240667_bin.2,xx14,Cronobacter sakazakii ES15 (taxid 1138308),msbA,2,AAC74000.1,ARO:3003950,93,582,41,0,188275,190020,1,582,0,1018,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240671,Ambulances,SRR5240671_bin.8,xx80,Klebsiella grimontii (taxid 2058152),Kpne_KpnH,1,EOU56998.1,ARO:3004597,93,512,36,0,8424,6889,1,512,1.19e-312,944,42528,5310,3299,Klebsiella pneumoniae KpnH,ASTU01000063.1,major facilitator superfamily (MFS) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic,antibiotic efflux,,,,
SRR5240672,Ambulances,SRR5240672_bin.14,xx35,Metakosakonia sp. MRY16-398 (taxid 2487150),Sent_parC_FLO,2,AAL22048.1,ARO:3003939,93,752,53,0,113843,111588,1,752,0,1364,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240321,Ambulances,SRR5240321_bin.5,xx21,Leclercia sp. J807 (taxid 2681307),FosA8,1,QEI22965.1,ARO:3007371,92.9,140,10,0,71818,72237,1,140,2.81E-87,282,46119,8593,5899,FosA8,MN150127.1,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,,,,
SRR5240368,Ambulances,SRR5240368_bin.11,xx31,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,3,BAE77595.1,ARO:3003303,92.9,804,57,0,49173,51584,1,804,0,1496,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240389,Ambulances,SRR5240389_bin.12,xx149,Pantoea anthophila (taxid 470931),Ecol_UhpT_FOF,1,CDJ73208.1,ARO:3003890,92.9,463,33,0,15247,13859,1,463,5.15E-282,853,40592,3667,2373,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240405,Ambulances,SRR5240405_bin.3,xx196,Pantoea sp. X85 (taxid 3037258),Ecol_UhpT_FOF,1,CDJ73208.1,ARO:3003890,92.9,463,33,0,5243,6631,1,463,5.85E-281,850,40592,3667,2373,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240408,Ambulances,SRR5240408_bin.1,xx36,Massilia sp. NP310 (taxid 2861282),MSI-OXA,1,AJP77058.1,ARO:3003719,92.9,266,19,0,64689,65486,7,272,4.2E-156,484,40373,3434,2234,MSI-OXA,KP109676.1,MSI-OXA family beta-lactamase,carbapenem,antibiotic inactivation,,,,
SRR5240469,Ambulances,SRR5240469_bin.4,xx1678,Pantoea eucalypti (taxid 470933),Ecol_UhpT_FOF,1,CDJ73208.1,ARO:3003890,92.9,354,25,0,1064,3,1,354,9.98E-225,657,40592,3667,2373,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.1,xx60,Pseudescherichia vulneris (taxid 566),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,92.9,848,60,0,38591,41134,1,848,0,1609,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240482,Ambulances,SRR5240482_bin.2,xx19,Paenibacillus sp. JZ16 (taxid 1906272),AAC(2')-IIb,1,APB03221.1,ARO:3003988,92.9,239,17,0,37717,37001,1,239,5.1E-145,452,40870,3860,2524,AAC(2')-IIb,KX531051.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,,,,
SRR5240483,Ambulances,SRR5240483_bin.4,xx117,Pseudescherichia vulneris (taxid 566),Sent_gyrA_FLO,2,AAL21173.1,ARO:3003926,92.9,878,62,0,5999,8632,1,878,0,1566,40635,5271,2403,Salmonella enterica gyrA conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240522,Ambulances,SRR5240522_bin.12,xx15,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,4,BAE77595.1,ARO:3003303,92.9,804,57,0,392851,390440,1,804,0,1496,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240544,Ambulances,SRR5240544_bin.1,xx608,Pseudomonas sp. MTM4 (taxid 2705472),YajC,2,TKW44661.1,ARO:3005040,92.9,112,6,1,1995,2324,1,112,1.11E-62,206,43238,6076,3783,YajC,VAOQ01003483.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;oxazolidinone antibiotic;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240600,Ambulances,SRR5240600_bin.6,xx4,Buttiauxella agrestis (taxid 82977),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,92.9,804,57,0,47245,49656,1,804,0,1489,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240606,Ambulances,SRR5240606_bin.5,xx21,Leclercia sp. 119287 (taxid 2681308),Sent_gyrA_FLO,1,AAL21173.1,ARO:3003926,92.9,878,62,0,98999,101632,1,878,0,1579,40635,5271,2403,Salmonella enterica gyrA conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240641,Ambulances,SRR5240641_bin.2,xx27,Leclercia sp. 29361 (taxid 2714951),acrD,1,BAA16344.1,ARO:3000491,92.9,1035,74,0,33043,36147,1,1035,0,1836,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240672,Ambulances,SRR5240672_bin.3,xx30,Leclercia adecarboxylata (taxid 83655),acrD,2,BAA16344.1,ARO:3000491,92.9,1035,74,0,22167,25271,1,1035,0,1839,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240674,Ambulances,SRR5240674_bin.7,xx51,Leclercia adecarboxylata (taxid 83655),acrD,2,BAA16344.1,ARO:3000491,92.9,1035,73,0,52504,49400,1,1035,0,1840,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240321,Ambulances,SRR5240321_bin.5,xx23,Leclercia sp. J807 (taxid 2681307),Ecol_murA_FOF,4,AIL15701.1,ARO:3003775,92.8,419,30,0,68356,69612,1,419,1.27E-249,760,40451,3548,2284,Escherichia coli murA with mutation conferring resistance to fosfomycin,CP009072.1,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240333,Ambulances,SRR5240333_bin.2,xx7,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,2,BAE77595.1,ARO:3003303,92.8,804,58,0,361545,359134,1,804,0,1491,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240334,Ambulances,SRR5240334_bin.9,xx49,Leclercia adecarboxylata (taxid 83655),emrB,2,AAC75733.1,ARO:3000074,92.8,515,34,1,98411,99955,1,512,8.03e-312,942,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240361,Ambulances,SRR5240361_bin.9,xx304,Pantoea vagans (taxid 470934),Ecol_parE_FLO,1,BAE77086.1,ARO:3003316,92.8,419,30,0,9441,8185,212,630,9.99E-258,784,39900,5533,1055,Escherichia coli parE conferring resistance to fluoroquinolones,AP009048.1,fluoroquinolone resistant parE,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240366,Ambulances,SRR5240366_bin.1,xx1214,Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K (taxid 1243602),acrD,2,BAA16344.1,ARO:3000491,92.8,207,15,0,3,623,828,1034,5.39E-107,367,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx69,Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,92.8,850,59,2,43534,46083,1,848,0,1615,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240378,Ambulances,SRR5240378_bin.5,xx15,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,1,BAE77595.1,ARO:3003303,92.8,804,58,0,68377,65966,1,804,0,1488,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240385,Ambulances,SRR5240385_bin.8,xx32,Enterobacter sp. SA187 (taxid 1914861),msbA,1,AAC74000.1,ARO:3003950,92.8,582,42,0,81418,79673,1,582,0,1030,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx131,Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,92.8,850,59,2,6823,4274,1,848,0,1615,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx22,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,92.8,850,59,2,42863,40314,1,848,0,1615,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240431,Ambulances,SRR5240431_bin.3,xx7,Enterobacter sp. SA187 (taxid 1914861),acrD,1,BAA16344.1,ARO:3000491,92.8,1033,74,0,194826,197924,1,1033,0,1828,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240452,Ambulances,SRR5240452_bin.10,xx17,Leclercia adecarboxylata (taxid 83655),emrB,1,AAC75733.1,ARO:3000074,92.8,515,34,1,89605,88061,1,512,1.35e-311,942,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240453,Ambulances,SRR5240453_bin.3,xx4285,Chryseobacterium taklimakanense (taxid 536441),ESP-1,2,AJP77085.1,ARO:3003717,92.8,222,16,0,1855,2520,1,222,7.5E-144,423,40371,3432,2232,ESP-1,KP109681.1,ESP beta-lactamase,carbapenem,antibiotic inactivation,,,,
SRR5240619,Ambulances,SRR5240619_bin.5,xx350,Leclercia sp. 29361 (taxid 2714951),acrD,1,BAA16344.1,ARO:3000491,92.8,1035,75,0,2509,5613,1,1035,0,1835,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240632,Ambulances,SRR5240632_bin.5,xx18,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,2,BAE77595.1,ARO:3003303,92.8,804,58,0,146801,144390,1,804,0,1493,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240637,Ambulances,SRR5240637_bin.2,xx7,Leclercia adecarboxylata (taxid 83655),emrB,1,AAC75733.1,ARO:3000074,92.8,515,34,1,114138,112594,1,512,2.21e-311,942,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240639,Ambulances,SRR5240639_bin.11,xx10,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,3,BAE77595.1,ARO:3003303,92.8,804,58,0,27367,29778,1,804,0,1488,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240639,Ambulances,SRR5240639_bin.6,xx315,Pantoea agglomerans (taxid 549),Ecol_parE_FLO,1,BAE77086.1,ARO:3003316,92.8,627,45,0,5202,3322,4,630,0,1175,39900,5533,1055,Escherichia coli parE conferring resistance to fluoroquinolones,AP009048.1,fluoroquinolone resistant parE,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240643,Ambulances,SRR5240643_bin.5,xx3,Enterobacter sp. SA187 (taxid 1914861),msbA,1,AAC74000.1,ARO:3003950,92.8,582,42,0,387023,385278,1,582,0,1030,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240666,Ambulances,SRR5240666_bin.8,xx44,Cronobacter sakazakii ES15 (taxid 1138308),msbA,5,AAC74000.1,ARO:3003950,92.8,582,42,0,87953,86208,1,582,0,1020,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240666,Ambulances,SRR5240666_bin.8,xx128,Cronobacter sakazakii ES15 (taxid 1138308),emrB,2,AAC75733.1,ARO:3000074,92.8,512,37,0,51878,53413,1,512,5.30e-313,945,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240672,Ambulances,SRR5240672_bin.3,xx164,Leclercia adecarboxylata (taxid 83655),emrB,4,AAC75733.1,ARO:3000074,92.8,515,34,1,5208,3664,1,512,4.51e-312,942,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240673,Ambulances,SRR5240673_bin.3,xx17,Leclercia pneumoniae (taxid 2815358),Ecol_murA_FOF,1,AIL15701.1,ARO:3003775,92.8,419,30,0,117957,116701,1,419,6E-250,761,40451,3548,2284,Escherichia coli murA with mutation conferring resistance to fosfomycin,CP009072.1,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240674,Ambulances,SRR5240674_bin.7,xx38,Leclercia adecarboxylata (taxid 83655),emrB,1,AAC75733.1,ARO:3000074,92.8,515,34,1,98790,100334,1,512,8.09e-312,942,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240681,Ambulances,SRR5240681_bin.5,xx12,Pseudescherichia vulneris (taxid 566),Ecol_gyrB_AMU,3,BAE77595.1,ARO:3003303,92.8,804,58,0,162754,160343,1,804,0,1491,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240681,Ambulances,SRR5240681_bin.5,xx33,Pseudescherichia vulneris (taxid 566),msbA,4,AAC74000.1,ARO:3003950,92.8,581,42,0,76779,75037,1,581,0,1013,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240321,Ambulances,SRR5240321_bin.5,xx11,Leclercia sp. J807 (taxid 2681307),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,49999,52251,1,751,0,1377,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240385,Ambulances,SRR5240385_bin.8,xx45,Enterobacter sp. SA187 (taxid 1914861),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,92.7,752,55,0,31578,29323,1,752,0,1367,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240415,Ambulances,SRR5240415_bin.6,xx4,Leclercia sp. 29361 (taxid 2714951),acrB,2,AAC73564.1,ARO:3000216,92.7,1049,77,0,236578,239724,1,1049,0,1865,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240415,Ambulances,SRR5240415_bin.6,xx28,Leclercia sp. 29361 (taxid 2714951),acrD,1,BAA16344.1,ARO:3000491,92.7,1035,76,0,32934,36038,1,1035,0,1834,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240427,Ambulances,SRR5240427_bin.1,xx2,Leclercia sp. 29361 (taxid 2714951),acrB,1,AAC73564.1,ARO:3000216,92.7,1049,77,0,309579,312725,1,1049,0,1865,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240427,Ambulances,SRR5240427_bin.1,xx13,Leclercia sp. 29361 (taxid 2714951),acrD,1,BAA16344.1,ARO:3000491,92.7,1035,76,0,64859,67963,1,1035,0,1834,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240479,Ambulances,SRR5240479_bin.4,xx46,Brucella pseudogrignonensis (taxid 419475),OXA-919,1,WP_007879679.1,ARO:3006105,92.7,275,20,0,126295,125471,1,275,9.08E-172,530,44567,7585,5210,OXA-919,NG_070746.1,OXA beta-lactamase,penam,antibiotic inactivation,,,,
SRR5240534,Ambulances,SRR5240534_bin.5,xx80,Leclercia adecarboxylata (taxid 83655),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,4711,2459,1,751,0,1366,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240550,Ambulances,SRR5240550_bin.20,xx6,Leclercia sp. 29361 (taxid 2714951),acrD,1,BAA16344.1,ARO:3000491,92.7,1035,76,0,276965,280069,1,1035,0,1835,36630,5517,1427,acrD,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240550,Ambulances,SRR5240550_bin.20,xx77,Leclercia sp. 29361 (taxid 2714951),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,42308,40056,1,751,0,1368,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240619,Ambulances,SRR5240619_bin.5,xx179,Leclercia sp. 29361 (taxid 2714951),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,6769,4517,1,751,0,1368,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240619,Ambulances,SRR5240619_bin.5,xx218,Leclercia sp. 29361 (taxid 2714951),acrB,3,AAC73564.1,ARO:3000216,92.7,1049,77,0,16737,13591,1,1049,0,1867,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240630,Ambulances,SRR5240630_bin.4,xx719,Stutzerimonas stutzeri (taxid 316),Paer_gyrA_FLO,2,AAG06556.1,ARO:3003684,92.7,413,30,0,3196,4434,1,413,1.93E-259,765,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240641,Ambulances,SRR5240641_bin.2,xx29,Leclercia sp. 29361 (taxid 2714951),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,42235,39983,1,751,0,1369,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240641,Ambulances,SRR5240641_bin.2,xx80,Leclercia sp. 29361 (taxid 2714951),acrB,2,AAC73564.1,ARO:3000216,92.7,1049,77,0,51781,48635,1,1049,0,1865,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240643,Ambulances,SRR5240643_bin.5,xx9,Enterobacter sp. SA187 (taxid 1914861),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,92.7,752,55,0,198711,196456,1,752,0,1367,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240644,Ambulances,SRR5240644_bin.5,xx187,Neisseria sicca (taxid 490),Ngon_gyrA_FLO,1,AAW89357.1,ARO:3003928,92.7,901,66,0,4343,1641,1,901,0,1638,40637,5269,2404,Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,AE004969.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240666,Ambulances,SRR5240666_bin.8,xx36,Cronobacter sakazakii ES15 (taxid 1138308),Sent_gyrA_FLO,1,AAL21173.1,ARO:3003926,92.7,878,64,0,111182,108549,1,878,0,1560,40635,5271,2403,Salmonella enterica gyrA conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240674,Ambulances,SRR5240674_bin.7,xx272,Leclercia adecarboxylata (taxid 83655),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,92.7,751,55,0,12186,14438,1,751,0,1367,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240366,Ambulances,SRR5240366_bin.1,xx278,Cronobacter sakazakii ES15 (taxid 1138308),msbA,4,AAC74000.1,ARO:3003950,92.6,582,43,0,21988,23733,1,582,0,1017,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR5240368,Ambulances,SRR5240368_bin.11,xx90,Pseudescherichia vulneris (taxid 566),msbA,5,AAC74000.1,ARO:3003950,92.6,581,43,0,78061,76319,1,581,0,1013,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
